Year,Job Family,Total Salary
2013,Fire Services,82019.01
2016,Fire Services,105504.25
2015,Fire Services,96289.13
2014,Fire Services,92008.11
2013,Fire Services,97180.1
2016,Fire Services,158788.47
2015,Fire Services,152179.9
2014,Fire Services,158702.27
2013,Fire Services,158928.9
2016,Fire Services,169098.58
2015,Fire Services,157318.83
2014,Fire Services,145338.96
2013,Fire Services,158872.3
2016,Fire Services,161578.23
2015,Fire Services,190997.0
2014,Fire Services,186328.29
2013,Fire Services,183141.64
2016,Fire Services,119667.16
2015,Fire Services,139120.25
2014,Fire Services,165729.9
2013,Fire Services,201987.15
2016,Fire Services,38823.1
2016,Fire Services,186283.1
2015,Fire Services,174780.14
2014,Fire Services,157244.15
2013,Fire Services,148425.98
2016,Fire Services,7766.11
2016,Fire Services,162594.73
2015,Fire Services,125528.2
2014,Fire Services,124350.11
2013,Fire Services,126958.67
2016,Fire Services,95217.17
2015,Fire Services,89123.55
2014,Fire Services,79491.54
2014,Fire Services,113949.89
2013,Fire Services,157778.87
2016,Fire Services,198010.85
2015,Fire Services,213053.38
2014,Fire Services,210009.42
2013,Fire Services,216667.69
2016,Fire Services,198738.17
2015,Fire Services,211793.71
2014,Fire Services,220371.96
2013,Fire Services,227832.19
2016,Fire Services,141049.31
2015,Fire Services,135426.85
2014,Fire Services,159725.37
2013,Fire Services,138426.1
2016,Fire Services,238187.34
2015,Fire Services,236141.49
2014,Fire Services,215686.06
2013,Fire Services,186103.54
2016,Fire Services,156779.16
2015,Fire Services,41335.23
2015,Fire Services,76612.65
2014,Fire Services,99012.17
2013,Fire Services,25315.28
2016,Fire Services,11700.84
2016,Fire Services,167244.75
2016,Fire Services,18566.51
2015,Fire Services,165183.97
2014,Fire Services,179888.7
2013,Fire Services,176702.02
2013,Fire Services,94216.76
2016,Fire Services,219143.79
2015,Fire Services,233082.2
2014,Fire Services,243349.9
2013,Fire Services,223619.3
2016,Fire Services,243209.29
2015,Fire Services,224442.25
2014,Fire Services,147161.75
2013,Fire Services,167468.11
2016,Fire Services,197403.66
2015,Fire Services,219046.43
2014,Fire Services,201438.31
2013,Fire Services,221962.57
2016,Fire Services,4320.0
2016,Fire Services,115474.34
2015,Fire Services,98014.72
2014,Fire Services,34877.47
2015,Fire Services,6759.35
2016,Fire Services,154626.47
2015,Fire Services,140207.01
2014,Fire Services,115219.05
2013,Fire Services,100592.01
2016,Fire Services,52468.35
2015,Fire Services,126597.4
2014,Fire Services,196880.56
2013,Fire Services,202453.34
2016,Fire Services,103042.49
2015,Fire Services,156533.52
2014,Fire Services,217197.81
2013,Fire Services,214802.16
2016,Fire Services,144943.14
2015,Fire Services,149622.51
2014,Fire Services,157999.42
2013,Fire Services,158868.4
2016,Fire Services,172153.9
2015,Fire Services,169304.67
2014,Fire Services,157426.72
2013,Fire Services,153994.62
2016,Fire Services,167338.48
2015,Fire Services,156898.43
2014,Fire Services,165536.32
2013,Fire Services,182233.06
2016,Fire Services,175177.13
2016,Fire Services,171223.55
2015,Fire Services,151124.18
2014,Fire Services,166745.61
2013,Fire Services,167005.47
2015,Fire Services,9589.34
2014,Fire Services,151483.54
2013,Fire Services,167804.57
2015,Fire Services,185164.77
2014,Fire Services,189102.79
2013,Fire Services,11999.21
2013,Fire Services,152035.15
2016,Fire Services,162936.97
2015,Fire Services,172802.88
2014,Fire Services,161562.11
2013,Fire Services,167683.61
2016,Fire Services,201449.37
2015,Fire Services,219330.73
2014,Fire Services,180230.74
2013,Fire Services,186088.13
2016,Fire Services,207733.23
2015,Fire Services,207913.63
2014,Fire Services,188254.92
2013,Fire Services,204701.04
2016,Fire Services,130786.43
2015,Fire Services,128301.33
2014,Fire Services,132202.73
2013,Fire Services,140061.28
2016,Fire Services,4702.65
2016,Fire Services,194714.92
2015,Fire Services,164079.86
2014,Fire Services,158954.18
2016,Fire Services,221069.25
2015,Fire Services,221551.2
2014,Fire Services,206161.97
2013,Fire Services,208914.09
2016,Fire Services,77031.08
2016,Fire Services,4320.0
2013,Fire Services,113970.39
2016,Fire Services,95758.37
2015,Fire Services,85453.07
2014,Fire Services,38111.78
2016,Fire Services,189554.87
2015,Fire Services,171296.9
2014,Fire Services,175205.37
2013,Fire Services,222837.86
2016,Fire Services,207137.49
2015,Fire Services,188452.96
2014,Fire Services,164946.95
2013,Fire Services,179766.09
2016,Fire Services,180880.59
2015,Fire Services,152123.61
2014,Fire Services,124167.9
2013,Fire Services,165931.18
2016,Fire Services,39167.28
2016,Fire Services,159946.03
2015,Fire Services,165812.37
2014,Fire Services,158489.11
2013,Fire Services,159005.56
2016,Fire Services,204537.6
2015,Fire Services,192617.52
2014,Fire Services,196067.69
2013,Fire Services,194823.55
2016,Fire Services,144256.84
2015,Fire Services,136543.81
2014,Fire Services,145629.6
2013,Fire Services,145791.94
2016,Fire Services,184929.22
2015,Fire Services,162250.71
2014,Fire Services,177858.64
2013,Fire Services,186510.16
2016,Fire Services,185259.81
2015,Fire Services,189582.47
2014,Fire Services,169007.47
2013,Fire Services,203380.43
2016,Fire Services,193927.26
2014,Fire Services,43863.3
2013,Fire Services,139753.64
2016,Fire Services,146395.21
2015,Fire Services,145317.83
2014,Fire Services,131921.82
2013,Fire Services,132347.15
2015,Fire Services,54134.12
2015,Fire Services,79956.92
2014,Fire Services,97798.95
2013,Fire Services,24650.68
2016,Fire Services,129841.0
2015,Fire Services,121001.77
2014,Fire Services,39846.42
2014,Fire Services,2855.1
2016,Fire Services,144473.0
2015,Fire Services,123395.54
2014,Fire Services,121064.05
2013,Fire Services,72642.0
2013,Fire Services,34386.64
2016,Fire Services,139740.46
2015,Fire Services,136399.87
2014,Fire Services,164629.15
2013,Fire Services,181700.43
2016,Fire Services,180316.71
2015,Fire Services,170211.36
2014,Fire Services,157829.99
2013,Fire Services,159045.61
2016,Fire Services,162399.34
2015,Fire Services,144140.14
2014,Fire Services,165992.04
2013,Fire Services,160788.43
2016,Fire Services,99786.89
2015,Fire Services,56519.17
2016,Fire Services,166934.11
2015,Fire Services,177591.09
2014,Fire Services,188991.68
2013,Fire Services,140478.67
2016,Fire Services,175851.45
2015,Fire Services,137013.21
2014,Fire Services,153647.41
2013,Fire Services,161651.69
2016,Fire Services,91249.8
2016,Fire Services,564.8
2016,Fire Services,209385.67
2015,Fire Services,167156.08
2014,Fire Services,162948.39
2013,Fire Services,152351.57
2015,Fire Services,81883.49
2014,Fire Services,79497.16
2014,Fire Services,150873.5
2013,Fire Services,174207.13
2016,Fire Services,134866.39
2015,Fire Services,102833.23
2014,Fire Services,35797.81
2016,Fire Services,148025.71
2015,Fire Services,136666.51
2014,Fire Services,129566.62
2013,Fire Services,135545.19
2016,Fire Services,180097.36
2015,Fire Services,166715.09
2014,Fire Services,153240.97
2013,Fire Services,152058.16
2016,Fire Services,38230.42
2016,Fire Services,6506.21
2016,Fire Services,153846.78
2015,Fire Services,116022.76
2014,Fire Services,103399.89
2013,Fire Services,26382.78
2016,Fire Services,107754.66
2015,Fire Services,100106.17
2014,Fire Services,85915.67
2013,Fire Services,100553.53
2016,Fire Services,125240.66
2015,Fire Services,132352.48
2014,Fire Services,125758.93
2013,Fire Services,138113.21
2016,Fire Services,109564.83
2015,Fire Services,97434.36
2014,Fire Services,1348.03
2014,Fire Services,23757.5
2016,Fire Services,100602.02
2015,Fire Services,88894.21
2014,Fire Services,34489.33
2016,Fire Services,156792.11
2015,Fire Services,148003.6
2014,Fire Services,144903.18
2013,Fire Services,140153.64
2013,Fire Services,21657.29
2016,Fire Services,185390.28
2015,Fire Services,100416.69
2015,Fire Services,122597.71
2014,Fire Services,152575.24
2013,Fire Services,182935.75
2016,Fire Services,132787.74
2015,Fire Services,138800.63
2014,Fire Services,127371.1
2013,Fire Services,130357.09
2016,Fire Services,138524.8
2016,Fire Services,93744.72
2015,Fire Services,88037.9
2014,Fire Services,88237.18
2013,Fire Services,25384.15
2016,Fire Services,240557.03
2015,Fire Services,223002.34
2014,Fire Services,192215.34
2013,Fire Services,234419.0
2016,Fire Services,9161.48
2016,Fire Services,84093.96
2015,Fire Services,13755.7
2015,Fire Services,140567.18
2014,Fire Services,136703.29
2013,Fire Services,144297.5
2016,Fire Services,207168.18
2015,Fire Services,222371.95
2014,Fire Services,169927.81
2013,Fire Services,215967.24
2016,Fire Services,98565.2
2015,Fire Services,92102.19
2014,Fire Services,88189.39
2013,Fire Services,86037.37
2016,Fire Services,146654.1
2015,Fire Services,137031.58
2014,Fire Services,131907.12
2013,Fire Services,142162.44
2016,Fire Services,96369.7
2015,Fire Services,24004.0
2016,Fire Services,181335.48
2016,Fire Services,143396.5
2015,Fire Services,160600.62
2014,Fire Services,142729.57
2013,Fire Services,136529.43
2016,Fire Services,107358.97
2015,Fire Services,94030.94
2014,Fire Services,23757.5
2016,Fire Services,136744.16
2015,Fire Services,148049.93
2014,Fire Services,146695.63
2013,Fire Services,158775.33
2015,Fire Services,166740.24
2014,Fire Services,152977.4
2013,Fire Services,176285.65
2016,Fire Services,266156.31
2015,Fire Services,220329.99
2014,Fire Services,181841.03
2013,Fire Services,251902.26
2016,Fire Services,128394.22
2015,Fire Services,96252.58
2014,Fire Services,35186.6
2016,Fire Services,2369.82
2016,Fire Services,87776.74
2015,Fire Services,11159.67
2016,Fire Services,136924.15
2015,Fire Services,132674.95
2014,Fire Services,132281.12
2013,Fire Services,147683.45
2016,Fire Services,123644.12
2015,Fire Services,129691.47
2014,Fire Services,149514.26
2013,Fire Services,126430.54
2016,Fire Services,219576.6
2015,Fire Services,196819.34
2014,Fire Services,189311.0
2013,Fire Services,228799.16
2014,Fire Services,12435.52
2013,Fire Services,66687.81
2016,Fire Services,122317.83
2015,Fire Services,33349.94
2014,Fire Services,109749.88
2013,Fire Services,98784.06
2016,Fire Services,195273.76
2015,Fire Services,132010.99
2014,Fire Services,123409.08
2013,Fire Services,208669.08
2016,Fire Services,4320.0
2016,Fire Services,135073.5
2015,Fire Services,130686.81
2014,Fire Services,130980.81
2013,Fire Services,142570.14
2016,Fire Services,88012.44
2015,Fire Services,24004.0
2016,Fire Services,95487.55
2015,Fire Services,55302.73
2016,Fire Services,23695.73
2016,Fire Services,164359.6
2015,Fire Services,187789.96
2014,Fire Services,181063.9
2013,Fire Services,11234.09
2013,Fire Services,155525.09
2016,Fire Services,128605.62
2015,Fire Services,123676.54
2014,Fire Services,124264.3
2013,Fire Services,143017.68
2016,Fire Services,181428.63
2015,Fire Services,164027.08
2014,Fire Services,167169.73
2013,Fire Services,173228.53
2016,Fire Services,166285.7
2015,Fire Services,60372.79
2015,Fire Services,95545.75
2014,Fire Services,159111.66
2013,Fire Services,170739.17
2016,Fire Services,186176.87
2015,Fire Services,171731.07
2014,Fire Services,151001.45
2013,Fire Services,181290.7
2016,Fire Services,164509.84
2015,Fire Services,157794.75
2014,Fire Services,150736.0
2013,Fire Services,152152.59
2016,Fire Services,14244.96
2016,Fire Services,232158.45
2015,Fire Services,171745.49
2014,Fire Services,276495.41
2013,Fire Services,224666.51
2016,Fire Services,199041.44
2015,Fire Services,203638.36
2014,Fire Services,196486.1
2013,Fire Services,202383.34
2016,Fire Services,87073.35
2015,Fire Services,24004.0
2016,Fire Services,4320.0
2016,Fire Services,94489.0
2015,Fire Services,24004.0
2014,Fire Services,16877.05
2013,Fire Services,113980.89
2015,Fire Services,7885.01
2016,Fire Services,346376.32
2015,Fire Services,310743.63
2014,Fire Services,329390.54
2013,Fire Services,333888.32
2016,Fire Services,105911.46
2015,Fire Services,89839.64
2014,Fire Services,23757.5
2015,Fire Services,43662.74
2014,Fire Services,153362.61
2013,Fire Services,211400.48
2016,Fire Services,207971.17
2015,Fire Services,218863.24
2014,Fire Services,85250.5
2014,Fire Services,123978.92
2013,Fire Services,202437.61
2013,Fire Services,169892.46
2015,Fire Services,77231.0
2014,Fire Services,159155.07
2013,Fire Services,143805.27
2016,Fire Services,191889.37
2016,Fire Services,215735.31
2015,Fire Services,192452.05
2014,Fire Services,190435.63
2013,Fire Services,187090.49
2016,Fire Services,97820.39
2015,Fire Services,93540.13
2014,Fire Services,89846.01
2013,Fire Services,27116.26
2016,Fire Services,218482.31
2015,Fire Services,204662.47
2014,Fire Services,158904.41
2013,Fire Services,116429.45
2015,Fire Services,143401.94
2014,Fire Services,148938.97
2013,Fire Services,189929.21
2013,Fire Services,42173.82
2016,Fire Services,144410.26
2015,Fire Services,129504.47
2014,Fire Services,143144.72
2013,Fire Services,145700.28
2016,Fire Services,266966.44
2015,Fire Services,206692.36
2014,Fire Services,242967.98
2013,Fire Services,257870.4
2016,Fire Services,86552.43
2015,Fire Services,24004.0
2016,Fire Services,42776.14
2015,Fire Services,2369.81
2016,Fire Services,55426.09
2016,Fire Services,1538.25
2016,Fire Services,1206.45
2015,Fire Services,2369.81
2016,Fire Services,1889.85
2016,Fire Services,152327.47
2015,Fire Services,145435.26
2014,Fire Services,139531.77
2013,Fire Services,129115.54
2016,Fire Services,152281.37
2015,Fire Services,149710.67
2014,Fire Services,149051.76
2013,Fire Services,153818.06
2016,Fire Services,183680.49
2015,Fire Services,186234.05
2014,Fire Services,180086.73
2013,Fire Services,190862.02
2016,Fire Services,144806.5
2015,Fire Services,145928.57
2014,Fire Services,139230.92
2013,Fire Services,142538.91
2016,Fire Services,141753.84
2015,Fire Services,133105.46
2016,Fire Services,344.7
2015,Fire Services,1508.06
2016,Fire Services,102461.1
2015,Fire Services,89778.87
2014,Fire Services,23757.5
2016,Fire Services,226122.59
2015,Fire Services,198128.51
2016,Fire Services,121716.15
2015,Fire Services,115107.97
2014,Fire Services,106319.44
2013,Fire Services,100571.88
2016,Fire Services,163649.8
2015,Fire Services,153430.09
2014,Fire Services,146586.86
2013,Fire Services,150385.33
2014,Fire Services,158597.52
2013,Fire Services,157000.93
2014,Fire Services,216237.42
2013,Fire Services,277181.77
2016,Fire Services,131569.82
2015,Fire Services,168491.87
2016,Fire Services,185560.94
2015,Fire Services,168720.71
2014,Fire Services,178351.88
2013,Fire Services,202504.99
2016,Fire Services,80406.1
2014,Fire Services,177308.88
2013,Fire Services,257968.35
2016,Fire Services,89983.07
2015,Fire Services,61390.12
2016,Fire Services,132191.75
