Year,Job Family,Total Salary
2023,Fire Services,147507.38
2023,Fire Services,273044.58
2023,Fire Services,123915.8
2023,Fire Services,201279.54
2023,Fire Services,21283.48
2018,Fire Services,161099.08
2018,Fire Services,158322.25
2018,Fire Services,177630.93
2018,Fire Services,177705.91
2018,Fire Services,161830.83
2018,Fire Services,132843.48
2018,Fire Services,208859.15
2018,Fire Services,249729.89
2018,Fire Services,226325.62
2018,Fire Services,243144.68
2018,Fire Services,155064.63
2018,Fire Services,114787.56
2018,Fire Services,6061.38
2018,Fire Services,149134.51
2018,Fire Services,1759.46
2018,Fire Services,65836.88
2018,Fire Services,143463.31
2018,Fire Services,103780.39
2018,Fire Services,70.46
2018,Fire Services,230673.78
2018,Fire Services,193633.2
2018,Fire Services,263348.81
2018,Fire Services,13330.17
2018,Fire Services,126322.87
2018,Fire Services,151862.05
2018,Fire Services,167384.52
2018,Fire Services,89919.21
2018,Fire Services,168254.94
2018,Fire Services,140222.76
2018,Fire Services,159247.07
2018,Fire Services,142480.38
2018,Fire Services,166245.27
2018,Fire Services,99668.17
2018,Fire Services,140931.94
2018,Fire Services,183255.1
2018,Fire Services,135787.28
2018,Fire Services,223092.94
2018,Fire Services,166079.85
2018,Fire Services,81255.19
2018,Fire Services,117105.9
2018,Fire Services,33967.73
2018,Fire Services,35006.44
2018,Fire Services,61859.17
2018,Fire Services,124992.26
2018,Fire Services,84381.76
2018,Fire Services,9831.85
2018,Fire Services,81429.49
2018,Fire Services,130499.59
2018,Fire Services,122148.19
2018,Fire Services,11337.9
2019,Fire Services,223949.89
2019,Fire Services,3913.86
2019,Fire Services,360129.76
2019,Fire Services,171164.06
2019,Fire Services,155393.4
2019,Fire Services,153780.2
2019,Fire Services,270497.26
2019,Fire Services,204337.18
2019,Fire Services,221252.44
2019,Fire Services,155481.86
2019,Fire Services,205853.74
2019,Fire Services,183615.21
2019,Fire Services,192288.15
2019,Fire Services,261203.04
2019,Fire Services,360.58
2019,Fire Services,186523.88
2019,Fire Services,163578.02
2019,Fire Services,228468.75
2019,Fire Services,239490.04
2019,Fire Services,145536.51
2019,Fire Services,150282.13
2019,Fire Services,15585.0
2019,Fire Services,122547.22
2019,Fire Services,163478.24
2019,Fire Services,158471.92
2019,Fire Services,111131.06
2019,Fire Services,88582.53
2019,Fire Services,130373.36
2019,Fire Services,137467.68
2019,Fire Services,177032.35
2019,Fire Services,127168.63
2019,Fire Services,228033.85
2019,Fire Services,100319.16
2019,Fire Services,152561.19
2019,Fire Services,157098.11
2019,Fire Services,3968.78
2019,Fire Services,199323.23
2019,Fire Services,123003.08
2019,Fire Services,134500.95
2019,Fire Services,103897.84
2019,Fire Services,104598.74
2019,Fire Services,168817.72
2019,Fire Services,77282.41
2019,Fire Services,75646.28
2019,Fire Services,77781.76
2019,Fire Services,78713.49
2019,Fire Services,156036.99
2019,Fire Services,129256.29
2019,Fire Services,3093.73
2019,Fire Services,33539.14
2019,Fire Services,4571.33
2019,Fire Services,4571.33
2019,Fire Services,4571.33
2019,Fire Services,182010.51
2019,Fire Services,160565.92
2019,Fire Services,26533.01
2019,Fire Services,180985.48
2017,Fire Services,53614.79
2017,Fire Services,294240.55
2017,Fire Services,127199.38
2017,Fire Services,145626.2
2017,Fire Services,120772.06
2017,Fire Services,114784.94
2017,Fire Services,107695.92
2017,Fire Services,17628.0
2017,Fire Services,17628.0
2017,Fire Services,17426.01
2017,Fire Services,186133.46
2017,Fire Services,9159.41
2017,Fire Services,179802.53
2017,Fire Services,80827.06
2017,Fire Services,125228.94
2017,Fire Services,150898.36
2017,Fire Services,13994.17
2017,Fire Services,148457.39
2017,Fire Services,188803.5
2017,Fire Services,156520.53
2017,Fire Services,108407.8
2017,Fire Services,787.54
2017,Fire Services,10355.3
2017,Fire Services,91760.22
2017,Fire Services,140693.05
2017,Fire Services,15960.06
2017,Fire Services,85216.59
2017,Fire Services,148753.73
2017,Fire Services,131287.33
2017,Fire Services,170387.03
2017,Fire Services,221959.16
2017,Fire Services,123853.49
2017,Fire Services,4314.13
2017,Fire Services,152512.99
2017,Fire Services,123682.53
2017,Fire Services,158012.07
2017,Fire Services,89757.66
2017,Fire Services,125524.35
2017,Fire Services,103071.09
2017,Fire Services,75059.19
2017,Fire Services,79413.01
2017,Fire Services,83317.42
2017,Fire Services,138923.34
2017,Fire Services,222245.47
2017,Fire Services,203662.7
2017,Fire Services,186394.93
2017,Fire Services,154357.12
2017,Fire Services,156074.2
2017,Fire Services,150416.11
2017,Fire Services,179554.01
2017,Fire Services,226702.9
2020,Fire Services,71399.51
2020,Fire Services,222237.34
2020,Fire Services,190735.2
2020,Fire Services,230970.05
2020,Fire Services,169784.27
2020,Fire Services,155875.25
2020,Fire Services,109803.05
2020,Fire Services,115377.19
2020,Fire Services,223894.27
2020,Fire Services,163913.81
2020,Fire Services,168896.95
2020,Fire Services,127225.86
2020,Fire Services,89685.19
2020,Fire Services,130006.83
2020,Fire Services,116785.58
2020,Fire Services,93445.16
2020,Fire Services,5233.36
2020,Fire Services,172510.51
2020,Fire Services,190888.4
2020,Fire Services,166795.64
2020,Fire Services,2856.0
2020,Fire Services,226460.23
2020,Fire Services,138762.66
2020,Fire Services,118925.44
2020,Fire Services,105631.93
2020,Fire Services,271828.46
2020,Fire Services,133147.02
2020,Fire Services,114642.73
2020,Fire Services,154177.72
2020,Fire Services,121469.2
2020,Fire Services,222632.4
2020,Fire Services,197165.04
2020,Fire Services,161482.63
2020,Fire Services,201600.55
2020,Fire Services,132558.41
2020,Fire Services,217337.54
2020,Fire Services,160510.38
2020,Fire Services,236537.19
2020,Fire Services,93285.57
2020,Fire Services,128638.24
2020,Fire Services,204196.77
2020,Fire Services,320856.41
2020,Fire Services,150165.87
2020,Fire Services,155197.88
2020,Fire Services,153616.94
2020,Fire Services,142170.62
2020,Fire Services,91686.82
2021,Fire Services,170841.51
2021,Fire Services,144930.97
2021,Fire Services,123433.1
2021,Fire Services,55284.16
2021,Fire Services,10464.69
2021,Fire Services,147443.89
2021,Fire Services,183642.11
2021,Fire Services,157028.65
2021,Fire Services,30504.5
2021,Fire Services,177828.82
2021,Fire Services,229934.14
2021,Fire Services,134784.15
2021,Fire Services,246142.06
2021,Fire Services,189895.52
2021,Fire Services,266870.75
2021,Fire Services,244586.1
2021,Fire Services,174181.17
2021,Fire Services,200635.6
2021,Fire Services,207510.29
2021,Fire Services,217394.22
2021,Fire Services,218150.91
2021,Fire Services,165382.34
2021,Fire Services,241640.05
2021,Fire Services,197647.47
2021,Fire Services,128846.83
2021,Fire Services,137971.66
2021,Fire Services,116958.15
2021,Fire Services,155921.0
2021,Fire Services,118986.67
2021,Fire Services,183669.56
2021,Fire Services,310680.23
2021,Fire Services,136711.24
2021,Fire Services,133970.84
2021,Fire Services,120772.17
2021,Fire Services,153170.22
2021,Fire Services,299963.1
2021,Fire Services,121465.08
2021,Fire Services,205558.34
2021,Fire Services,182246.28
2021,Fire Services,133011.81
2021,Fire Services,128171.04
2021,Fire Services,143922.73
2021,Fire Services,136012.29
2021,Fire Services,197331.59
2021,Fire Services,95397.89
2021,Fire Services,92050.7
2022,Fire Services,293473.27
2022,Fire Services,315775.15
2022,Fire Services,90084.9
2022,Fire Services,230611.39
2022,Fire Services,193561.52
2022,Fire Services,68674.16
2022,Fire Services,220096.01
2022,Fire Services,220339.22
2022,Fire Services,248543.23
2022,Fire Services,257768.85
2022,Fire Services,206535.49
2022,Fire Services,245159.4
2022,Fire Services,98531.01
2022,Fire Services,98360.21
2022,Fire Services,247875.4
2022,Fire Services,333820.95
2022,Fire Services,163307.7
2022,Fire Services,265230.53
2022,Fire Services,159574.49
2022,Fire Services,98310.63
2022,Fire Services,106968.14
2022,Fire Services,85104.91
2022,Fire Services,67394.47
2022,Fire Services,201535.9
2022,Fire Services,197089.98
2022,Fire Services,229436.73
2022,Fire Services,67142.27
2022,Fire Services,132142.08
2022,Fire Services,56465.99
2022,Fire Services,302462.6
2022,Fire Services,196770.27
2022,Fire Services,126098.69
2022,Fire Services,234714.41
2022,Fire Services,134375.99
2022,Fire Services,43782.58
2022,Fire Services,19000.8
2022,Fire Services,43938.45
2022,Fire Services,256062.02
2022,Fire Services,179080.28
2022,Fire Services,200440.91
2022,Fire Services,79773.82
2022,Fire Services,99695.3
2022,Fire Services,165578.08
2022,Fire Services,79736.72
2022,Fire Services,165224.59
2022,Fire Services,126391.41
2022,Fire Services,125035.06
2022,Fire Services,243251.56
2022,Fire Services,129198.55
2023,Fire Services,218851.59
2023,Fire Services,166740.9
2023,Fire Services,191646.66
2023,Fire Services,13026.82
2023,Fire Services,140045.91
2023,Fire Services,183033.8
2023,Fire Services,193391.08
2023,Fire Services,195861.08
2023,Fire Services,242195.37
2023,Fire Services,194119.27
2023,Fire Services,166379.41
2023,Fire Services,176278.05
2023,Fire Services,128316.4
2023,Fire Services,205702.3
2023,Fire Services,234482.21
2023,Fire Services,239102.0
2023,Fire Services,280654.42
2023,Fire Services,117982.85
2023,Fire Services,315539.24
2023,Fire Services,182531.68
2023,Fire Services,211784.6
2023,Fire Services,226020.76
2023,Fire Services,165602.93
2023,Fire Services,93628.1
2023,Fire Services,42534.18
2023,Fire Services,228374.41
2023,Fire Services,211586.98
2023,Fire Services,197245.52
2023,Fire Services,42317.18
2023,Fire Services,243219.16
2023,Fire Services,295209.44
2023,Fire Services,170602.25
2023,Fire Services,177248.65
2023,Fire Services,164667.64
2023,Fire Services,132617.31
2023,Fire Services,156730.49
2023,Fire Services,126268.02
2023,Fire Services,155018.93
2023,Fire Services,305667.96
2023,Fire Services,187587.84
2023,Fire Services,191822.93
2023,Fire Services,190774.27
2023,Fire Services,211748.0
2023,Fire Services,236840.47
2023,Fire Services,231456.9
2023,Fire Services,174991.81
2023,Fire Services,256486.57
2023,Fire Services,235390.32
2023,Fire Services,183002.11
2023,Fire Services,6462.36
2023,Fire Services,200110.29
2023,Fire Services,111425.37
2023,Fire Services,195393.59
2023,Fire Services,214849.53
2023,Fire Services,235730.66
2023,Fire Services,181485.14
2023,Fire Services,266962.51
2023,Fire Services,175259.05
2023,Fire Services,200587.12
2023,Fire Services,52494.8
2023,Fire Services,229564.24
2023,Fire Services,217217.25
2023,Fire Services,243111.31
2023,Fire Services,329246.59
2023,Fire Services,164412.25
2023,Fire Services,181093.97
2023,Fire Services,298588.84
2023,Fire Services,211704.93
2023,Fire Services,155485.67
2023,Fire Services,198659.91
2023,Fire Services,388149.71
2023,Fire Services,193626.32
2023,Fire Services,134459.02
2018,Fire Services,263203.67
2018,Fire Services,152611.18
2018,Fire Services,3860.84
2018,Fire Services,209385.08
2018,Fire Services,147334.12
2018,Fire Services,187976.12
2018,Fire Services,225259.14
2018,Fire Services,205749.68
2018,Fire Services,163957.87
2018,Fire Services,194495.59
2018,Fire Services,178987.81
2018,Fire Services,179644.27
2018,Fire Services,185470.66
2018,Fire Services,167134.21
2018,Fire Services,154506.43
2018,Fire Services,255530.37
2018,Fire Services,154755.33
2018,Fire Services,47511.99
2018,Fire Services,154968.38
2018,Fire Services,173551.99
2018,Fire Services,133798.71
2018,Fire Services,139776.15
2018,Fire Services,151724.42
2018,Fire Services,160014.15
2018,Fire Services,206427.78
2018,Fire Services,178503.52
2018,Fire Services,144443.96
2018,Fire Services,213957.85
2018,Fire Services,196956.91
2018,Fire Services,226970.22
2018,Fire Services,168196.37
2018,Fire Services,253789.09
2018,Fire Services,178250.5
2018,Fire Services,130806.32
2018,Fire Services,161098.04
2018,Fire Services,144955.77
2018,Fire Services,216985.26
2018,Fire Services,279169.88
2018,Fire Services,167145.53
2018,Fire Services,93226.99
2018,Fire Services,195075.9
2018,Fire Services,137403.34
2018,Fire Services,143424.45
2018,Fire Services,822.16
2018,Fire Services,175894.84
2018,Fire Services,148302.81
2018,Fire Services,140423.57
2018,Fire Services,219510.47
2018,Fire Services,147119.02
2018,Fire Services,10556.52
2018,Fire Services,90006.71
2018,Fire Services,543.5
2018,Fire Services,76841.37
2018,Fire Services,97283.79
2018,Fire Services,88993.92
2018,Fire Services,2056.6
2018,Fire Services,87668.8
2018,Fire Services,99737.11
2018,Fire Services,1710.35
2018,Fire Services,542.1
2018,Fire Services,70390.35
2018,Fire Services,146413.69
2018,Fire Services,92945.42
2018,Fire Services,115244.0
2018,Fire Services,94914.61
2018,Fire Services,11087.67
2019,Fire Services,219428.76
2019,Fire Services,162885.2
2019,Fire Services,144197.39
2019,Fire Services,208112.26
2019,Fire Services,178831.78
2019,Fire Services,199762.47
2019,Fire Services,227699.81
2019,Fire Services,64728.23
2019,Fire Services,144344.15
2019,Fire Services,155710.66
2019,Fire Services,149891.61
2019,Fire Services,191666.66
2019,Fire Services,168521.99
2019,Fire Services,71112.28
2019,Fire Services,69224.44
2019,Fire Services,183631.97
2019,Fire Services,216982.37
2019,Fire Services,207776.33
2019,Fire Services,162273.1
2019,Fire Services,13855.13
2019,Fire Services,274879.04
2019,Fire Services,226109.66
2019,Fire Services,156689.47
2019,Fire Services,149411.81
2019,Fire Services,282260.4
2019,Fire Services,196166.94
2019,Fire Services,142331.69
2019,Fire Services,261908.89
2019,Fire Services,174042.4
2019,Fire Services,151467.17
2019,Fire Services,195999.21
2019,Fire Services,144638.9
2019,Fire Services,105222.74
2019,Fire Services,207855.24
2019,Fire Services,118564.41
2019,Fire Services,130434.72
2019,Fire Services,81068.78
2019,Fire Services,108086.94
2019,Fire Services,84825.36
2019,Fire Services,169190.66
2019,Fire Services,123498.72
2019,Fire Services,120815.29
2019,Fire Services,170315.76
2019,Fire Services,105203.0
2019,Fire Services,193532.08
2019,Fire Services,118278.38
2019,Fire Services,176304.26
2019,Fire Services,161020.61
2019,Fire Services,207026.94
2019,Fire Services,91914.03
2019,Fire Services,100614.8
2019,Fire Services,94734.45
2019,Fire Services,85326.06
2019,Fire Services,144189.2
2019,Fire Services,131491.88
2019,Fire Services,77764.96
2019,Fire Services,127515.22
2019,Fire Services,160195.78
2019,Fire Services,154628.86
2019,Fire Services,47285.82
2019,Fire Services,159648.42
2019,Fire Services,139099.56
2019,Fire Services,59474.56
2019,Fire Services,146441.59
2019,Fire Services,158906.51
2017,Fire Services,149993.16
2017,Fire Services,124313.82
2017,Fire Services,108094.74
2017,Fire Services,115835.97
2017,Fire Services,120495.56
2017,Fire Services,144190.74
2017,Fire Services,51148.56
2017,Fire Services,197989.54
2017,Fire Services,195310.48
2017,Fire Services,107176.96
2017,Fire Services,186082.99
2017,Fire Services,146800.72
2017,Fire Services,235269.78
2017,Fire Services,159668.13
2017,Fire Services,92341.72
2017,Fire Services,149757.58
2017,Fire Services,168964.98
2017,Fire Services,306071.16
2017,Fire Services,183135.92
2017,Fire Services,253977.66
2017,Fire Services,153865.17
2017,Fire Services,116756.6
2017,Fire Services,110082.84
2017,Fire Services,60361.04
2017,Fire Services,184596.96
2017,Fire Services,219717.67
2017,Fire Services,3091.27
2017,Fire Services,192541.44
2017,Fire Services,113888.63
2017,Fire Services,173501.68
2017,Fire Services,118889.46
2017,Fire Services,149069.49
2017,Fire Services,148831.99
2017,Fire Services,115788.98
2017,Fire Services,136033.02
2017,Fire Services,152741.34
2017,Fire Services,118004.94
2017,Fire Services,20956.91
2017,Fire Services,13550.0
2017,Fire Services,7077.93
2017,Fire Services,190567.97
2017,Fire Services,148875.68
2017,Fire Services,114228.0
2017,Fire Services,84120.9
2017,Fire Services,79359.54
2017,Fire Services,115012.74
2017,Fire Services,76539.95
2017,Fire Services,196724.04
2017,Fire Services,79408.55
2017,Fire Services,88236.12
2017,Fire Services,75260.27
2017,Fire Services,206235.06
2017,Fire Services,160356.91
2017,Fire Services,164280.28
2017,Fire Services,169813.3
2017,Fire Services,142988.37
2017,Fire Services,184535.99
2017,Fire Services,201739.39
2017,Fire Services,148473.51
2017,Fire Services,189787.52
2017,Fire Services,196672.93
2017,Fire Services,194296.95
2017,Fire Services,150718.27
2017,Fire Services,188646.66
2017,Fire Services,163151.44
2017,Fire Services,129540.55
2020,Fire Services,151252.77
2020,Fire Services,206158.39
2020,Fire Services,85243.26
2020,Fire Services,91872.94
2020,Fire Services,210911.16
2020,Fire Services,162473.88
2020,Fire Services,191635.1
2020,Fire Services,272500.79
2020,Fire Services,167220.86
2020,Fire Services,252734.25
2020,Fire Services,5460.77
2020,Fire Services,159000.58
2020,Fire Services,236177.61
2020,Fire Services,198355.61
2020,Fire Services,154519.41
2020,Fire Services,140199.76
2020,Fire Services,2856.0
2020,Fire Services,247717.81
2020,Fire Services,163360.72
2020,Fire Services,3456.38
2020,Fire Services,112800.09
2020,Fire Services,254672.47
2020,Fire Services,169435.3
2020,Fire Services,152554.67
2020,Fire Services,194139.48
2020,Fire Services,122895.8
2020,Fire Services,202559.15
2020,Fire Services,139278.31
2020,Fire Services,134722.0
2020,Fire Services,181527.42
2020,Fire Services,255232.45
2020,Fire Services,137253.75
2020,Fire Services,95799.79
2020,Fire Services,198324.1
2020,Fire Services,12509.32
2020,Fire Services,164444.88
2020,Fire Services,117176.62
2020,Fire Services,58100.3
2020,Fire Services,95410.26
2020,Fire Services,240599.33
2020,Fire Services,138574.03
2020,Fire Services,217359.93
2020,Fire Services,160532.66
2020,Fire Services,113502.56
2020,Fire Services,163312.53
2020,Fire Services,165394.71
2020,Fire Services,168335.17
2020,Fire Services,178545.66
2020,Fire Services,189543.7
2020,Fire Services,171816.29
2020,Fire Services,51851.55
2020,Fire Services,110244.81
2020,Fire Services,21551.66
2020,Fire Services,158866.47
2020,Fire Services,188123.89
2020,Fire Services,165030.8
2020,Fire Services,171642.24
2020,Fire Services,2067.39
2020,Fire Services,106521.67
2020,Fire Services,94972.28
2021,Fire Services,179244.85
2021,Fire Services,185717.03
2021,Fire Services,228938.2
2021,Fire Services,104673.91
2021,Fire Services,251428.54
2021,Fire Services,184660.14
2021,Fire Services,196310.49
2021,Fire Services,132610.99
2021,Fire Services,30504.5
2021,Fire Services,104687.25
2021,Fire Services,257847.94
2021,Fire Services,139545.03
2021,Fire Services,210335.0
2021,Fire Services,158108.54
2021,Fire Services,74378.35
2021,Fire Services,260095.83
2021,Fire Services,200257.36
2021,Fire Services,229369.7
2021,Fire Services,161108.34
2021,Fire Services,133072.45
2021,Fire Services,408831.31
2021,Fire Services,174110.89
2021,Fire Services,267906.34
2021,Fire Services,233705.91
2021,Fire Services,185295.59
2021,Fire Services,281387.78
2021,Fire Services,159330.02
2021,Fire Services,131328.58
2021,Fire Services,160459.78
2021,Fire Services,218692.6
2021,Fire Services,223868.6
2021,Fire Services,319248.76
2021,Fire Services,327701.58
2021,Fire Services,102957.18
2021,Fire Services,27986.84
2021,Fire Services,211379.91
2021,Fire Services,202147.07
2021,Fire Services,235757.86
2021,Fire Services,159253.53
2021,Fire Services,94804.93
2021,Fire Services,116977.95
2021,Fire Services,230340.05
2021,Fire Services,266130.13
2021,Fire Services,143328.13
2021,Fire Services,242064.23
2021,Fire Services,299335.13
2021,Fire Services,322493.17
2021,Fire Services,130590.15
2021,Fire Services,194998.64
2021,Fire Services,132476.04
2021,Fire Services,207831.38
2022,Fire Services,331629.12
2022,Fire Services,302832.66
2022,Fire Services,158559.37
2022,Fire Services,116792.11
2022,Fire Services,134230.01
2022,Fire Services,221110.46
2022,Fire Services,164980.08
2022,Fire Services,121186.15
2022,Fire Services,212763.93
2022,Fire Services,389290.61
2022,Fire Services,300686.23
2022,Fire Services,128808.94
2022,Fire Services,272685.59
2022,Fire Services,330090.38
2022,Fire Services,179575.82
2022,Fire Services,99423.35
2022,Fire Services,108489.56
2022,Fire Services,21587.79
2022,Fire Services,228849.14
2022,Fire Services,106428.82
2022,Fire Services,238705.05
2022,Fire Services,153145.96
2022,Fire Services,228942.77
2022,Fire Services,226191.75
2022,Fire Services,143415.03
2022,Fire Services,148320.48
2022,Fire Services,45197.71
2022,Fire Services,348053.75
2022,Fire Services,196358.91
2022,Fire Services,236391.54
2022,Fire Services,4029.6
2022,Fire Services,41180.11
2022,Fire Services,284044.66
2022,Fire Services,45160.89
2022,Fire Services,45076.94
2022,Fire Services,139215.38
2022,Fire Services,34155.9
2022,Fire Services,175938.06
2022,Fire Services,291259.21
2022,Fire Services,175552.28
2022,Fire Services,258175.42
2022,Fire Services,154236.08
2022,Fire Services,192033.25
2022,Fire Services,266866.5
2022,Fire Services,182003.67
2022,Fire Services,159371.14
2022,Fire Services,143698.29
2022,Fire Services,192371.04
2022,Fire Services,241174.95
2022,Fire Services,281498.14
2022,Fire Services,114895.78
2022,Fire Services,295515.49
2022,Fire Services,254941.39
2022,Fire Services,172032.06
2022,Fire Services,216362.83
2022,Fire Services,218058.8
2022,Fire Services,119394.38
2022,Fire Services,120742.41
2023,Fire Services,237690.14
2023,Fire Services,100903.71
2023,Fire Services,229248.23
2023,Fire Services,267592.11
2023,Fire Services,181718.1
2023,Fire Services,2304.76
2023,Fire Services,196570.67
2023,Fire Services,195823.68
2023,Fire Services,217387.39
2023,Fire Services,291736.81
2023,Fire Services,209699.89
2023,Fire Services,170538.55
2023,Fire Services,185071.66
2023,Fire Services,177903.29
2023,Fire Services,172925.29
2023,Fire Services,96410.93
2023,Fire Services,100573.59
2023,Fire Services,170131.54
2023,Fire Services,162659.82
2023,Fire Services,96637.91
2023,Fire Services,42118.07
2023,Fire Services,212846.6
2023,Fire Services,198199.03
2023,Fire Services,191379.85
2023,Fire Services,1243.63
2023,Fire Services,119684.71
2023,Fire Services,42534.18
2023,Fire Services,152660.18
2023,Fire Services,249775.0
2023,Fire Services,121474.6
2023,Fire Services,211507.94
2023,Fire Services,211422.93
2023,Fire Services,224799.44
2023,Fire Services,139297.7
2023,Fire Services,129405.47
2023,Fire Services,108281.94
2023,Fire Services,342251.35
2023,Fire Services,263958.41
2023,Fire Services,156199.04
2023,Fire Services,218396.12
2023,Fire Services,183933.82
2023,Fire Services,256782.66
2023,Fire Services,289589.86
2023,Fire Services,226907.05
2023,Fire Services,233392.71
2023,Fire Services,71372.63
2023,Fire Services,167153.73
2023,Fire Services,7114.39
2023,Fire Services,6193.13
2023,Fire Services,14017.58
2023,Fire Services,208009.76
2023,Fire Services,6002.0
2023,Fire Services,223551.02
2023,Fire Services,135925.2
2023,Fire Services,348147.72
2023,Fire Services,427560.64
2023,Fire Services,210859.61
2023,Fire Services,175080.06
2023,Fire Services,282686.77
2023,Fire Services,158461.86
2023,Fire Services,1562.5
2018,Fire Services,234822.84
2018,Fire Services,172503.99
2018,Fire Services,212220.58
2018,Fire Services,188425.64
2018,Fire Services,246334.64
2018,Fire Services,160999.52
2018,Fire Services,268809.21
2018,Fire Services,149338.82
2018,Fire Services,188484.08
2018,Fire Services,211187.1
2018,Fire Services,159905.61
2018,Fire Services,160360.83
2018,Fire Services,200675.48
2018,Fire Services,167860.08
2018,Fire Services,139218.03
2018,Fire Services,199389.25
2018,Fire Services,125979.65
2018,Fire Services,114864.25
2018,Fire Services,167282.8
2018,Fire Services,200274.86
2018,Fire Services,157482.39
2018,Fire Services,202475.59
2018,Fire Services,182285.55
2018,Fire Services,143091.79
2018,Fire Services,122683.71
2018,Fire Services,133370.75
2018,Fire Services,169995.17
2018,Fire Services,136950.72
2018,Fire Services,159646.51
2018,Fire Services,215420.17
2018,Fire Services,91666.11
2018,Fire Services,148048.31
2018,Fire Services,284854.98
2018,Fire Services,197127.58
2018,Fire Services,10.43
2018,Fire Services,158507.21
2018,Fire Services,150044.25
2018,Fire Services,223878.11
2018,Fire Services,67714.5
2018,Fire Services,196941.86
2018,Fire Services,195443.82
2018,Fire Services,100.61
2018,Fire Services,232254.33
2018,Fire Services,131451.18
2018,Fire Services,120033.45
2018,Fire Services,123795.49
2018,Fire Services,88641.87
2018,Fire Services,105664.0
2018,Fire Services,109790.33
2018,Fire Services,105711.1
2018,Fire Services,123908.96
2018,Fire Services,74246.95
2018,Fire Services,78226.43
2019,Fire Services,215810.65
2019,Fire Services,220333.55
2019,Fire Services,156160.06
2019,Fire Services,172692.06
2019,Fire Services,226149.97
2019,Fire Services,173885.62
2019,Fire Services,167012.12
2019,Fire Services,138360.42
2019,Fire Services,178355.74
2019,Fire Services,175249.8
2019,Fire Services,132461.75
2019,Fire Services,143936.13
2019,Fire Services,255166.5
2019,Fire Services,95129.47
2019,Fire Services,196740.09
2019,Fire Services,153150.36
2019,Fire Services,216653.37
2019,Fire Services,184461.3
2019,Fire Services,174360.23
2019,Fire Services,186555.11
2019,Fire Services,182814.5
2019,Fire Services,211867.92
2019,Fire Services,158286.73
2019,Fire Services,144095.14
2019,Fire Services,151438.88
2019,Fire Services,198004.47
2019,Fire Services,183504.98
2019,Fire Services,112513.12
2019,Fire Services,141932.57
2019,Fire Services,177703.79
2019,Fire Services,141576.21
2019,Fire Services,148855.39
2019,Fire Services,108757.3
2019,Fire Services,24301.24
2019,Fire Services,115020.19
2019,Fire Services,136332.01
2019,Fire Services,127649.08
2019,Fire Services,92109.95
2019,Fire Services,180227.34
2019,Fire Services,216386.75
2019,Fire Services,208106.58
2019,Fire Services,141113.81
2019,Fire Services,85687.48
2019,Fire Services,75716.66
2019,Fire Services,80240.97
2019,Fire Services,91366.48
2019,Fire Services,118662.45
2019,Fire Services,62973.9
2019,Fire Services,74578.55
2019,Fire Services,199374.33
2019,Fire Services,117130.26
2019,Fire Services,11894.98
2019,Fire Services,136142.93
2019,Fire Services,3463.13
2019,Fire Services,126796.33
2017,Fire Services,151238.35
2017,Fire Services,184266.74
2017,Fire Services,184754.06
2017,Fire Services,199885.12
2017,Fire Services,114699.79
2017,Fire Services,108434.24
2017,Fire Services,51759.4
2017,Fire Services,54127.57
2017,Fire Services,153925.13
2017,Fire Services,198747.2
2017,Fire Services,233434.08
2017,Fire Services,139251.74
2017,Fire Services,148261.18
2017,Fire Services,136420.83
2017,Fire Services,158808.08
2017,Fire Services,155820.59
2017,Fire Services,120689.7
2017,Fire Services,17628.0
2017,Fire Services,207760.79
2017,Fire Services,147464.01
2017,Fire Services,170738.62
2017,Fire Services,139209.05
2017,Fire Services,99678.6
2017,Fire Services,139958.23
2017,Fire Services,150154.75
2017,Fire Services,171370.1
2017,Fire Services,185951.19
2017,Fire Services,157742.67
2017,Fire Services,83727.93
2017,Fire Services,143551.07
2017,Fire Services,157128.75
2017,Fire Services,200113.46
2017,Fire Services,134929.17
2017,Fire Services,7104.73
2017,Fire Services,219885.77
2017,Fire Services,116869.28
2017,Fire Services,154358.48
2017,Fire Services,163673.91
2017,Fire Services,147791.8
2017,Fire Services,212221.59
2017,Fire Services,146999.93
2017,Fire Services,80302.35
2017,Fire Services,75927.02
2017,Fire Services,214322.91
2017,Fire Services,132303.04
2017,Fire Services,111215.26
2017,Fire Services,140669.92
2017,Fire Services,285817.08
2017,Fire Services,160221.15
2017,Fire Services,149251.19
2017,Fire Services,177014.38
2017,Fire Services,164115.7
2017,Fire Services,101937.33
2017,Fire Services,216131.3
2017,Fire Services,147639.41
2017,Fire Services,238562.73
2017,Fire Services,80144.17
2017,Fire Services,160293.61
2017,Fire Services,160669.74
2017,Fire Services,235040.83
2017,Fire Services,135220.08
2017,Fire Services,175209.69
2020,Fire Services,162695.79
2020,Fire Services,172916.22
2020,Fire Services,43718.63
2020,Fire Services,194554.83
2020,Fire Services,147981.63
2020,Fire Services,162307.8
2020,Fire Services,124656.83
2020,Fire Services,133150.82
2020,Fire Services,160749.16
2020,Fire Services,144348.15
2020,Fire Services,90892.17
2020,Fire Services,52271.55
2020,Fire Services,204281.6
2020,Fire Services,215207.61
2020,Fire Services,161372.15
2020,Fire Services,294610.71
2020,Fire Services,136559.86
2020,Fire Services,137427.36
2020,Fire Services,195956.66
2020,Fire Services,184585.76
2020,Fire Services,143343.8
2020,Fire Services,224561.46
2020,Fire Services,184269.99
2020,Fire Services,187022.68
